Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.06281976340791E-10,0.0024952689120884,6.22399215003891E-11,0,0,0,0.113623772682042,0.000203272394718795,-4.39151056766037E-14,-1.44707292868474E-13,0.000406074363039218,8.22732076088615E-15,0.000203272394445846,0,0,0,0,0,0,package://ball_balancer_table/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ball_balancer_table/meshes/base_link.STL,,ball_balancer_table-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
table_magnet_1_link,3.06281971396066E-10,-0.0749999999377601,0.0019952689120884,0,0,0,0.113623772682042,0.000203272394718795,1.44707292887861E-13,4.39151056763551E-14,0.000203272394445846,8.22732076245507E-15,0.000406074363039218,0,0,0,0,0,0,package://ball_balancer_table/meshes/table_magnet_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ball_balancer_table/meshes/table_magnet_1_link.STL,,ball_balancer_table-1,Coordinate System2,Axis2,table_magnet_1_joint,fixed,0,-0.075,0.0005,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
table_magnet_2_link,0.0649519055901152,0.0375000000622393,0.0019952689120884,0,0,0,0.113623772682042,0.000203272394718795,1.44707292887861E-13,4.39151056763551E-14,0.000203272394445846,8.22732076083948E-15,0.000406074363039218,0,0,0,0,0,0,package://ball_balancer_table/meshes/table_magnet_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ball_balancer_table/meshes/table_magnet_2_link.STL,,ball_balancer_table-1,Coordinate System3,Axis3,table_magnet_2_joint,fixed,0.064952,0.0375,0.0005,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
table_magnet_3_link,-0.0649519049775508,0.0375000000622402,0.0019952689120884,0,0,0,0.113623772682042,0.000203272394718795,1.44707292913711E-13,4.39151056762542E-14,0.000203272394445846,8.22732076114623E-15,0.000406074363039218,0,0,0,0,0,0,package://ball_balancer_table/meshes/table_magnet_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ball_balancer_table/meshes/table_magnet_3_link.STL,,ball_balancer_table-1,Coordinate System4,Axis4,table_magnet_3_joint,fixed,-0.064952,0.0375,0.0005,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
